,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,39.88932800292969,72.55249786376953,53.48500061035156,85.9188232421875,266.0,41.842498779296875,72.55249786376953,53.48500061035156,90.80999755859375,266.0,41.8849983215332,72.60299682617188,53.58599853515625,90.98999786376953,269.8800048828125,40.720001220703125,70.16799926757812,52.337501525878906,88.41000366210938,260.3299865722656,40.7599983215332,70.3125,52.4474983215332,88.51000213623047,260.4700012207031,162579600.0,119184000.0,31116000.0,34960900.0,10972000.0
2018-02-15,41.22875213623047,73.08799743652344,54.47600173950195,87.66919708251953,280.2699890136719,43.247501373291016,73.08799743652344,54.47600173950195,92.66000366210938,280.2699890136719,43.272499084472656,73.4469985961914,54.573951721191406,92.72000122070312,280.5,42.25,71.84200286865234,53.21699905395508,90.62000274658203,267.6300048828125,42.4474983215332,73.34449768066406,53.95349884033203,91.20999908447266,270.0299987792969,204588800.0,113054000.0,36868000.0,27823900.0,10759700.0
2018-02-16,41.095279693603516,72.43450164794922,54.7400016784668,87.04475402832031,278.5199890136719,43.10749816894531,72.43450164794922,54.7400016784668,92.0,278.5199890136719,43.70500183105469,73.29000091552734,55.23350143432617,93.5,281.9599914550781,42.942501068115234,72.3280029296875,54.4156494140625,91.80000305175781,275.69000244140625,43.09000015258789,72.86849975585938,54.420501708984375,92.44999694824219,278.7300109863281,160704400.0,89452000.0,33590000.0,30596900.0,8312400.0
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,40.95705032348633,73.4175033569336,55.12300109863281,87.72598266601562,278.54998779296875,42.962501525878906,73.4175033569336,55.12300109863281,92.72000122070312,278.54998779296875,43.564998626708984,74.4384994506836,55.6974983215332,93.05999755859375,285.80999755859375,42.85499954223633,72.32450103759766,54.42599868774414,91.01000213623047,276.6099853515625,43.01250076293945,72.32450103759766,54.528499603271484,91.4800033569336,277.739990234375,135722000.0,129984000.0,28462000.0,30911700.0,7769000.0
2018-02-21,40.77116775512695,74.14600372314453,55.56700134277344,86.56221771240234,281.0400085449219,42.76750183105469,74.14600372314453,55.56700134277344,91.48999786376953,281.0400085449219,43.529998779296875,75.17449951171875,56.69850158691406,93.36000061035156,286.6400146484375,42.752498626708984,73.94599914550781,55.31650161743164,91.48999786376953,280.010009765625,43.20750045776367,74.25,55.32350158691406,92.9800033569336,282.07000732421875,149886400.0,126088000.0,30258000.0,26922500.0,9371100.0
